"OGid","Phco_ech1","Phco_ech2","Phco_ech3","Phlu_ech1","Phlu_ech2","Phlu_ech3","Hbet_ech1","Hbet_ech2","Hbet_ech3","Hkan_ech1","Hkan_ech2","Hkan_ech3","Gpru_ech1","Gpru_ech2","Gpru_ech3","Grac_ech1","Grac_ech2","Grac_ech3","Pgab_ech1","Pgab_ech2","Pgab_ech3","Psem_ech1","Psem_ech2","Psem_ech3","Pcos_ech1","Pcos_ech2","Pgra_ech1","Pgra_ech2","Prev_ech1","Prev_ech2","Mper_ech1","Mper_ech2","Mper_ech3","Ncfi_ech1","Ncfi_ech2","Nmon_ech1","Nmon_ech2","ScorA_ech2","ScorA_ech3","ScorB_ech1","ScorB_ech2","ScorB_ech3","ScorC_ech1","ScorC_ech2","ScorC_ech3","ScorD_ech1","ScorD_ech2","ScorD_ech3"
"3934",2457,2457,2457,2536,2536,2536,2871,2871,2871,2882,2882,2882,2485,2485,2485,2521,2521,2521,2696,2696,2696,2801,2801,2801,2155,2155,2289,2289,607,607,4126,4126,4126,2031,2031,614,614,4294,4294,4294,4294,4294,4294,4294,4294,4294,4294,4294
"3935",1009,1009,1009,836,836,836,783,783,783,1035,1035,1035,1079,1079,1079,1033,1033,1033,1356,1356,1356,1327,1327,1327,1283,1283,1340,1340,1001,1001,3221,3221,3221,1222,1222,1120,1120,633,633,633,633,633,633,633,633,633,633,633
"3936",8218,8218,8218,3858,3858,3858,8318,8318,8318,8378,8378,8378,8423,8423,8423,7347,7347,7347,6159,6159,6159,9272,9272,9272,5591,5591,5559,5559,1552,1552,14212,14212,14212,8373,8373,9051,9051,8565,8565,8565,8565,8565,8565,8565,8565,8565,8565,8565
"3937",3598,3598,3598,3738,3738,3738,3598,3598,3598,3672,3672,3672,3656,3656,3656,3752,3752,3752,3592,3592,3592,3616,3616,3616,3603,3603,4295,4295,1433,1433,5525,5525,5525,3597,3597,3218,3218,3315,3315,3315,3315,3315,3315,3315,3315,3315,3315,3315
"3938",1806,1806,1806,1883,1883,1883,1935,1935,1935,1966,1966,1966,1329,1329,1329,1166,1166,1166,NA,NA,NA,NA,NA,NA,NA,NA,2598,2598,NA,NA,2460,2460,2460,1879,1879,1477,1477,331,331,331,331,331,331,331,331,331,331,331
"3939",2025,2025,2025,2266,2266,2266,2527,2527,2527,2394,2394,2394,2370,2370,2370,2722,2722,2722,3987,3987,3987,2266,2266,2266,2595,2595,2328,2328,769,769,6034,6034,6034,2151,2151,2898,2898,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944,3944
"3940",391,391,391,639,639,639,653,653,653,808,808,808,430,430,430,1062,1062,1062,634,634,634,766,766,766,599,599,296,296,786,786,1337,1337,1337,692,692,454,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3941",3462,3462,3462,3016,3016,3016,3490,3490,3490,3386,3386,3386,3309,3309,3309,3401,3401,3401,3530,3530,3530,3677,3677,3677,3304,3304,2225,2225,307,307,8343,8343,8343,3145,3145,3643,3643,3002,3002,3002,3002,3002,3002,3002,3002,3002,3002,3002
"3942",1765,1765,1765,1426,1426,1426,1563,1563,1563,1759,1759,1759,1566,1566,1566,2114,2114,2114,1001,1001,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,3977,3977,3977,1465,1465,1078,1078,465,465,465,465,465,465,465,465,465,465,465
"3943",1033,1033,1033,NA,NA,NA,1178,1178,1178,1212,1212,1212,1054,1054,1054,981,981,981,1584,1584,1584,1523,1523,1523,1395,1395,1287,1287,2197,2197,4200,4200,4200,2494,2494,902,902,1359,1359,1359,1359,1359,1359,1359,1359,1359,1359,1359
"3944",703,703,703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,311,NA,NA,642,642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3945",5244,5244,5244,5458,5458,5458,5558,5558,5558,4809,4809,4809,5228,5228,5228,5853,5853,5853,5732,5732,5732,5110,5110,5110,6296,6296,5064,5064,3765,3765,13466,13466,13466,7402,7402,5117,5117,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290
"3946",2049,2049,2049,1228,1228,1228,1158,1158,1158,1227,1227,1227,1030,1030,1030,1130,1130,1130,1311,1311,1311,1298,1298,1298,1109,1109,999,999,3974,3974,7619,7619,7619,3288,3288,NA,NA,930,930,930,930,930,930,930,930,930,930,930
"3947",1745,1745,1745,1582,1582,1582,1741,1741,1741,1073,1073,1073,1686,1686,1686,1738,1738,1738,1965,1965,1965,1732,1732,1732,1995,1995,1924,1924,2807,2807,3142,3142,3142,1678,1678,2537,2537,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
"3948",1421,1421,1421,1473,1473,1473,1495,1495,1495,1552,1552,1552,1488,1488,1488,1486,1486,1486,1648,1648,1648,1075,1075,1075,1740,1740,1344,1344,1274,1274,4268,4268,4268,1637,1637,1045,1045,231,231,231,231,231,231,231,231,231,231,231
"3949",1287,1287,1287,1718,1718,1718,1816,1816,1816,1712,1712,1712,2791,2791,2791,2523,2523,2523,1501,1501,1501,1370,1370,1370,1415,1415,1502,1502,321,321,7912,7912,7912,3143,3143,3452,3452,2234,2234,2234,2234,2234,2234,2234,2234,2234,2234,2234
"3950",973,973,973,792,792,792,NA,NA,NA,810,810,810,231,231,231,NA,NA,NA,1225,1225,1225,893,893,893,571,571,1133,1133,544,544,2200,2200,2200,1013,1013,812,812,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202
"3951",1908,1908,1908,2829,2829,2829,2307,2307,2307,2767,2767,2767,2083,2083,2083,2107,2107,2107,2518,2518,2518,2560,2560,2560,3118,3118,2355,2355,696,696,4392,4392,4392,3039,3039,4964,4964,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346
"3952",709,709,709,NA,NA,NA,1638,1638,1638,1728,1728,1728,NA,NA,NA,NA,NA,NA,590,590,590,897,897,897,858,858,836,836,463,463,2152,2152,2152,876,876,1612,1612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3953",2130,2130,2130,1452,1452,1452,NA,NA,NA,206,206,206,418,418,418,990,990,990,NA,NA,NA,NA,NA,NA,2150,2150,996,996,234,234,2021,2021,2021,1353,1353,1940,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3954",1600,1600,1600,1579,1579,1579,1616,1616,1616,2151,2151,2151,1537,1537,1537,1746,1746,1746,1796,1796,1796,1616,1616,1616,1851,1851,1752,1752,4271,4271,6990,6990,6990,1551,1551,3416,3416,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908
"3955",357,357,357,2925,2925,2925,NA,NA,NA,3469,3469,3469,534,534,534,NA,NA,NA,3886,3886,3886,4182,4182,4182,3574,3574,3437,3437,2038,2038,20549,20549,20549,11192,11192,10037,10037,3676,3676,3676,3676,3676,3676,3676,3676,3676,3676,3676
"3956",1275,1275,1275,1294,1294,1294,1750,1750,1750,1702,1702,1702,1218,1218,1218,1292,1292,1292,1470,1470,1470,1520,1520,1520,668,668,1412,1412,356,356,1898,1898,1898,1444,1444,1025,1025,2252,2252,2252,2252,2252,2252,2252,2252,2252,2252,2252
"3957",3679,3679,3679,1965,1965,1965,4175,4175,4175,4532,4532,4532,3609,3609,3609,4219,4219,4219,4405,4405,4405,4560,4560,4560,4266,4266,4449,4449,656,656,6584,6584,6584,4435,4435,3190,3190,4214,4214,4214,4214,4214,4214,4214,4214,4214,4214,4214
"3958",1416,1416,1416,1517,1517,1517,1706,1706,1706,1453,1453,1453,1607,1607,1607,1509,1509,1509,1416,1416,1416,971,971,971,1375,1375,1225,1225,645,645,3035,3035,3035,1280,1280,1625,1625,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319
"3960",1110,1110,1110,2972,2972,2972,NA,NA,NA,NA,NA,NA,2490,2490,2490,2794,2794,2794,1398,1398,1398,1363,1363,1363,1122,1122,1820,1820,222,222,2959,2959,2959,508,508,275,275,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013
"3961",1821,1821,1821,1693,1693,1693,2509,2509,2509,3264,3264,3264,1942,1942,1942,1331,1331,1331,2909,2909,2909,2382,2382,2382,1390,1390,1666,1666,1554,1554,4265,4265,4265,1752,1752,1963,1963,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032
"3962",983,983,983,1260,1260,1260,566,566,566,959,959,959,684,684,684,1054,1054,1054,1014,1014,1014,657,657,657,933,933,1178,1178,875,875,1350,1350,1350,925,925,1319,1319,910,910,910,910,910,910,910,910,910,910,910
"3964",1745,1745,1745,756,756,756,1386,1386,1386,801,801,801,2764,2764,2764,2755,2755,2755,1257,1257,1257,637,637,637,3252,3252,2399,2399,4764,4764,5845,5845,5845,5378,5378,3073,3073,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889
"3965",2203,2203,2203,2174,2174,2174,2901,2901,2901,3123,3123,3123,2037,2037,2037,2149,2149,2149,4263,4263,4263,3515,3515,3515,3990,3990,2208,2208,1053,1053,6028,6028,6028,3537,3537,4063,4063,3586,3586,3586,3586,3586,3586,3586,3586,3586,3586,3586
"3966",1141,1141,1141,1806,1806,1806,1779,1779,1779,1627,1627,1627,NA,NA,NA,NA,NA,NA,2347,2347,2347,2822,2822,2822,1748,1748,1451,1451,2581,2581,1811,1811,1811,1474,1474,787,787,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199
"3967",1126,1126,1126,1772,1772,1772,1210,1210,1210,NA,NA,NA,NA,NA,NA,361,361,361,NA,NA,NA,NA,NA,NA,2413,2413,2202,2202,NA,NA,14485,14485,14485,8635,8635,8557,8557,297,297,297,297,297,297,297,297,297,297,297
"3968",797,797,797,1312,1312,1312,1059,1059,1059,1023,1023,1023,1701,1701,1701,1636,1636,1636,1185,1185,1185,1361,1361,1361,NA,NA,1925,1925,881,881,4315,4315,4315,NA,NA,2094,2094,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222
"3969",296,296,296,NA,NA,NA,NA,NA,NA,1927,1927,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4121,4121,4121,2649,2649,1638,1638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3970",1573,1573,1573,1716,1716,1716,2132,2132,2132,2046,2046,2046,1420,1420,1420,1464,1464,1464,1243,1243,1243,925,925,925,1689,1689,1620,1620,285,285,3492,3492,3492,1508,1508,2586,2586,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358
"3973",2676,2676,2676,3456,3456,3456,4269,4269,4269,2674,2674,2674,2755,2755,2755,2860,2860,2860,2883,2883,2883,2970,2970,2970,2978,2978,3238,3238,895,895,6406,6406,6406,3008,3008,2140,2140,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
"3974",1489,1489,1489,1736,1736,1736,1892,1892,1892,519,519,519,1987,1987,1987,1980,1980,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1783,1783,1783,1676,1676,NA,NA,556,556,556,556,556,556,556,556,556,556,556
"3975",2858,2858,2858,2798,2798,2798,3702,3702,3702,3749,3749,3749,3457,3457,3457,2994,2994,2994,3447,3447,3447,3680,3680,3680,3186,3186,3616,3616,789,789,17004,17004,17004,5919,5919,7869,7869,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154
"3976",992,992,992,1478,1478,1478,1339,1339,1339,1358,1358,1358,1235,1235,1235,1296,1296,1296,1441,1441,1441,1475,1475,1475,1422,1422,1457,1457,478,478,2686,2686,2686,1286,1286,630,630,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243
"3977",904,904,904,1389,1389,1389,1419,1419,1419,1179,1179,1179,1493,1493,1493,1386,1386,1386,1557,1557,1557,1038,1038,1038,1254,1254,1700,1700,343,343,1974,1974,1974,1273,1273,1107,1107,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213
"3978",1497,1497,1497,1527,1527,1527,1188,1188,1188,1415,1415,1415,1457,1457,1457,1569,1569,1569,1618,1618,1618,1615,1615,1615,1509,1509,3400,3400,5110,5110,4067,4067,4067,1452,1452,1674,1674,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279
"3979",3660,3660,3660,3282,3282,3282,3612,3612,3612,3546,3546,3546,3647,3647,3647,3608,3608,3608,3348,3348,3348,4239,4239,4239,3286,3286,2394,2394,893,893,9614,9614,9614,2974,2974,4951,4951,2944,2944,2944,2944,2944,2944,2944,2944,2944,2944,2944
"3980",1804,1804,1804,1391,1391,1391,1218,1218,1218,932,932,932,2693,2693,2693,2718,2718,2718,1148,1148,1148,1884,1884,1884,2100,2100,1636,1636,378,378,3393,3393,3393,1097,1097,2336,2336,2778,2778,2778,2778,2778,2778,2778,2778,2778,2778,2778
"3982",1446,1446,1446,1185,1185,1185,1294,1294,1294,1226,1226,1226,1143,1143,1143,1243,1243,1243,342,342,342,316,316,316,1351,1351,1061,1061,1256,1256,2857,2857,2857,1142,1142,814,814,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029
"3983",2884,2884,2884,2908,2908,2908,3029,3029,3029,3058,3058,3058,3024,3024,3024,3031,3031,3031,3133,3133,3133,3141,3141,3141,2417,2417,2822,2822,1757,1757,13012,13012,13012,5699,5699,5811,5811,2766,2766,2766,2766,2766,2766,2766,2766,2766,2766,2766
"3984",1139,1139,1139,1037,1037,1037,1008,1008,1008,1176,1176,1176,1226,1226,1226,1203,1203,1203,745,745,745,572,572,572,1164,1164,1290,1290,1460,1460,NA,NA,NA,1085,1085,1954,1954,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236
"3985",1413,1413,1413,1437,1437,1437,1490,1490,1490,1408,1408,1408,1314,1314,1314,2178,2178,2178,1408,1408,1408,1291,1291,1291,468,468,1589,1589,356,356,1598,1598,1598,1370,1370,762,762,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168
"3986",2261,2261,2261,1738,1738,1738,2402,2402,2402,1947,1947,1947,1724,1724,1724,1845,1845,1845,2068,2068,2068,1584,1584,1584,1995,1995,1816,1816,205,205,4249,4249,4249,3541,3541,2170,2170,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757
"3987",1283,1283,1283,1253,1253,1253,1178,1178,1178,1331,1331,1331,NA,NA,NA,1320,1320,1320,1998,1998,1998,623,623,623,1303,1303,1225,1225,237,237,238,238,238,NA,NA,832,832,312,312,312,312,312,312,312,312,312,312,312
"3989",3037,3037,3037,1518,1518,1518,545,545,545,NA,NA,NA,1180,1180,1180,1181,1181,1181,4796,4796,4796,4967,4967,4967,1580,1580,4459,4459,6796,6796,8563,8563,8563,8599,8599,8173,8173,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879
"3990",2738,2738,2738,1889,1889,1889,3033,3033,3033,3033,3033,3033,2520,2520,2520,2969,2969,2969,3461,3461,3461,2882,2882,2882,2633,2633,1989,1989,600,600,9734,9734,9734,5821,5821,6767,6767,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526
"3992",460,460,460,389,389,389,760,760,760,2086,2086,2086,597,597,597,1374,1374,1374,4970,4970,4970,3072,3072,3072,1859,1859,1673,1673,1238,1238,NA,NA,NA,NA,NA,NA,NA,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896
"3993",1930,1930,1930,1919,1919,1919,1021,1021,1021,605,605,605,921,921,921,1555,1555,1555,1050,1050,1050,624,624,624,2046,2046,2053,2053,631,631,1898,1898,1898,1739,1739,1721,1721,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731
"3994",739,739,739,781,781,781,993,993,993,904,904,904,NA,NA,NA,982,982,982,1413,1413,1413,1449,1449,1449,1601,1601,1542,1542,248,248,492,492,492,NA,NA,NA,NA,877,877,877,877,877,877,877,877,877,877,877
"3995",1788,1788,1788,1929,1929,1929,1986,1986,1986,1984,1984,1984,2402,2402,2402,2070,2070,2070,1855,1855,1855,2720,2720,2720,1993,1993,2236,2236,791,791,4453,4453,4453,3244,3244,2610,2610,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715
"3996",5239,5239,5239,2697,2697,2697,5687,5687,5687,5258,5258,5258,6029,6029,6029,5428,5428,5428,5343,5343,5343,5797,5797,5797,4214,4214,2667,2667,3257,3257,7252,7252,7252,5692,5692,6644,6644,5372,5372,5372,5372,5372,5372,5372,5372,5372,5372,5372
"3997",2084,2084,2084,2019,2019,2019,1707,1707,1707,1935,1935,1935,2059,2059,2059,2075,2075,2075,1951,1951,1951,1971,1971,1971,2022,2022,2227,2227,1733,1733,4078,4078,4078,2049,2049,1905,1905,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652
"3998",2413,2413,2413,2291,2291,2291,2437,2437,2437,1714,1714,1714,2366,2366,2366,2457,2457,2457,2337,2337,2337,3448,3448,3448,2148,2148,2207,2207,1693,1693,5534,5534,5534,2432,2432,2922,2922,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818
"3999",3806,3806,3806,4467,4467,4467,2189,2189,2189,2550,2550,2550,2360,2360,2360,2323,2323,2323,5965,5965,5965,9139,9139,9139,2037,2037,1514,1514,3985,3985,14643,14643,14643,407,407,11127,11127,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614,10614
"4000",NA,NA,NA,1027,1027,1027,640,640,640,634,634,634,NA,NA,NA,NA,NA,NA,NA,NA,NA,559,559,559,710,710,NA,NA,355,355,351,351,351,540,540,542,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4001",5141,5141,5141,2908,2908,2908,6515,6515,6515,6460,6460,6460,8937,8937,8937,8991,8991,8991,5981,5981,5981,6402,6402,6402,4912,4912,3833,3833,2134,2134,10546,10546,10546,9618,9618,6328,6328,5949,5949,5949,5949,5949,5949,5949,5949,5949,5949,5949
"4002",460,460,460,1356,1356,1356,1214,1214,1214,1456,1456,1456,1105,1105,1105,1110,1110,1110,1076,1076,1076,411,411,411,414,414,549,549,1554,1554,1368,1368,1368,911,911,NA,NA,894,894,894,894,894,894,894,894,894,894,894
"4004",2194,2194,2194,1950,1950,1950,1914,1914,1914,2050,2050,2050,NA,NA,NA,2022,2022,2022,2405,2405,2405,2316,2316,2316,2481,2481,2290,2290,1421,1421,5330,5330,5330,2531,2531,2470,2470,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093
"4005",3328,3328,3328,3113,3113,3113,3791,3791,3791,4581,4581,4581,6737,6737,6737,5969,5969,5969,4974,4974,4974,5504,5504,5504,2558,2558,1775,1775,920,920,11667,11667,11667,5302,5302,9148,9148,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463,9463
"4007",869,869,869,1004,1004,1004,995,995,995,804,804,804,743,743,743,744,744,744,716,716,716,868,868,868,874,874,727,727,1509,1509,378,378,378,1579,1579,678,678,658,658,658,658,658,658,658,658,658,658,658
"4008",3767,3767,3767,2827,2827,2827,2422,2422,2422,3012,3012,3012,2841,2841,2841,3514,3514,3514,3044,3044,3044,3112,3112,3112,3283,3283,2926,2926,416,416,7347,7347,7347,2807,2807,4385,4385,2797,2797,2797,2797,2797,2797,2797,2797,2797,2797,2797
"4009",2153,2153,2153,2594,2594,2594,1261,1261,1261,2819,2819,2819,2618,2618,2618,2533,2533,2533,4359,4359,4359,4825,4825,4825,3950,3950,4671,4671,957,957,7837,7837,7837,4367,4367,6334,6334,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140
"4010",1235,1235,1235,1218,1218,1218,2200,2200,2200,1604,1604,1604,1088,1088,1088,713,713,713,871,871,871,1285,1285,1285,NA,NA,1472,1472,2630,2630,5073,5073,5073,4179,4179,4034,4034,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119
"4011",1525,1525,1525,2112,2112,2112,1360,1360,1360,1935,1935,1935,NA,NA,NA,2070,2070,2070,2189,2189,2189,2072,2072,2072,2244,2244,2139,2139,1316,1316,7216,7216,7216,5222,5222,6612,6612,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839
"4012",1635,1635,1635,1176,1176,1176,2014,2014,2014,1684,1684,1684,1347,1347,1347,1638,1638,1638,1813,1813,1813,1909,1909,1909,2119,2119,1836,1836,643,643,3101,3101,3101,2953,2953,1963,1963,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838
"4013",1488,1488,1488,1320,1320,1320,1515,1515,1515,1492,1492,1492,1331,1331,1331,1343,1343,1343,1596,1596,1596,1607,1607,1607,1720,1720,2015,2015,2727,2727,1127,1127,1127,1439,1439,1746,1746,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304
"4015",1652,1652,1652,1358,1358,1358,1631,1631,1631,298,298,298,1330,1330,1330,1384,1384,1384,1588,1588,1588,1273,1273,1273,1651,1651,1453,1453,466,466,3406,3406,3406,1454,1454,1212,1212,1444,1444,1444,1444,1444,1444,1444,1444,1444,1444,1444
"4016",1448,1448,1448,1344,1344,1344,1521,1521,1521,1695,1695,1695,1347,1347,1347,1540,1540,1540,NA,NA,NA,1775,1775,1775,1556,1556,1601,1601,357,357,1446,1446,1446,1134,1134,NA,NA,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799
"4017",2205,2205,2205,1989,1989,1989,2108,2108,2108,2032,2032,2032,1908,1908,1908,1865,1865,1865,2109,2109,2109,2089,2089,2089,1748,1748,1880,1880,1655,1655,9499,9499,9499,3023,3023,4972,4972,3388,3388,3388,3388,3388,3388,3388,3388,3388,3388,3388
"4018",1512,1512,1512,1633,1633,1633,948,948,948,1729,1729,1729,1754,1754,1754,1610,1610,1610,1351,1351,1351,2137,2137,2137,1665,1665,1978,1978,908,908,4233,4233,4233,1573,1573,2174,2174,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458
"4019",5727,5727,5727,2507,2507,2507,4332,4332,4332,6228,6228,6228,4251,4251,4251,5494,5494,5494,3552,3552,3552,4474,4474,4474,3071,3071,4175,4175,585,585,10308,10308,10308,4540,4540,5733,5733,4021,4021,4021,4021,4021,4021,4021,4021,4021,4021,4021
"4020",1915,1915,1915,1891,1891,1891,2185,2185,2185,2649,2649,2649,1847,1847,1847,2255,2255,2255,2310,2310,2310,1854,1854,1854,2015,2015,2206,2206,NA,NA,6007,6007,6007,2387,2387,3513,3513,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981
"4021",2751,2751,2751,2642,2642,2642,2431,2431,2431,2951,2951,2951,2813,2813,2813,2919,2919,2919,2814,2814,2814,2962,2962,2962,2163,2163,2661,2661,1687,1687,13517,13517,13517,6572,6572,7002,7002,4696,4696,4696,4696,4696,4696,4696,4696,4696,4696,4696
"4023",5346,5346,5346,2290,2290,2290,7121,7121,7121,8003,8003,8003,7237,7237,7237,6602,6602,6602,2045,2045,2045,7817,7817,7817,6149,6149,5695,5695,732,732,7781,7781,7781,4637,4637,7465,7465,3954,3954,3954,3954,3954,3954,3954,3954,3954,3954,3954
"4024",1845,1845,1845,1927,1927,1927,2294,2294,2294,2292,2292,2292,1911,1911,1911,2038,2038,2038,2235,2235,2235,2302,2302,2302,1402,1402,2121,2121,205,205,4144,4144,4144,2061,2061,1686,1686,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553
"4025",3951,3951,3951,2005,2005,2005,1202,1202,1202,4602,4602,4602,2203,2203,2203,2166,2166,2166,2490,2490,2490,4058,4058,4058,2847,2847,3935,3935,2334,2334,10314,10314,10314,8637,8637,9872,9872,3267,3267,3267,3267,3267,3267,3267,3267,3267,3267,3267
"4026",1188,1188,1188,1121,1121,1121,2605,2605,2605,2360,2360,2360,2272,2272,2272,2008,2008,2008,4246,4246,4246,5541,5541,5541,3456,3456,2744,2744,1654,1654,6500,6500,6500,3592,3592,3200,3200,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897
"4027",1136,1136,1136,1577,1577,1577,1446,1446,1446,1317,1317,1317,1291,1291,1291,1161,1161,1161,1373,1373,1373,1318,1318,1318,1046,1046,1158,1158,701,701,1552,1552,1552,1263,1263,1100,1100,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046
"4028",1164,1164,1164,857,857,857,1310,1310,1310,1192,1192,1192,1228,1228,1228,1184,1184,1184,1574,1574,1574,1277,1277,1277,1573,1573,1659,1659,524,524,1580,1580,1580,1082,1082,NA,NA,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439
"4029",1082,1082,1082,1497,1497,1497,1357,1357,1357,1193,1193,1193,NA,NA,NA,NA,NA,NA,2462,2462,2462,1666,1666,1666,1102,1102,1049,1049,955,955,418,418,418,1019,1019,1078,1078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4030",1920,1920,1920,3079,3079,3079,1957,1957,1957,1922,1922,1922,1840,1840,1840,1949,1949,1949,1735,1735,1735,1369,1369,1369,1939,1939,1863,1863,841,841,4153,4153,4153,1858,1858,1596,1596,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530
"4031",3501,3501,3501,3505,3505,3505,3753,3753,3753,3608,3608,3608,3374,3374,3374,3424,3424,3424,2947,2947,2947,3315,3315,3315,3596,3596,3409,3409,9003,9003,9159,9159,9159,3336,3336,3604,3604,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280
"4032",500,500,500,330,330,330,NA,NA,NA,420,420,420,782,782,782,821,821,821,1182,1182,1182,1454,1454,1454,1027,1027,1002,1002,329,329,1511,1511,1511,1076,1076,NA,NA,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
"4033",4835,4835,4835,3892,3892,3892,4701,4701,4701,5203,5203,5203,4521,4521,4521,4257,4257,4257,3748,3748,3748,4630,4630,4630,4036,4036,4164,4164,1380,1380,9486,9486,9486,3984,3984,3299,3299,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584
"4034",2930,2930,2930,2374,2374,2374,2803,2803,2803,2333,2333,2333,2261,2261,2261,2339,2339,2339,4178,4178,4178,4611,4611,4611,4172,4172,4914,4914,4601,4601,5085,5085,5085,3897,3897,4036,4036,5108,5108,5108,5108,5108,5108,5108,5108,5108,5108,5108
"4035",943,943,943,782,782,782,1224,1224,1224,1252,1252,1252,1060,1060,1060,1079,1079,1079,1059,1059,1059,390,390,390,NA,NA,2046,2046,372,372,3495,3495,3495,1241,1241,888,888,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155
"4036",2233,2233,2233,2036,2036,2036,2209,2209,2209,791,791,791,2084,2084,2084,2673,2673,2673,1967,1967,1967,1354,1354,1354,1281,1281,2403,2403,325,325,4631,4631,4631,1698,1698,3003,3003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4037",2737,2737,2737,2443,2443,2443,2769,2769,2769,2365,2365,2365,4671,4671,4671,2716,2716,2716,2596,2596,2596,4600,4600,4600,2517,2517,2595,2595,422,422,3747,3747,3747,2875,2875,2951,2951,6527,6527,6527,6527,6527,6527,6527,6527,6527,6527,6527
"4039",2405,2405,2405,1948,1948,1948,2869,2869,2869,1903,1903,1903,2322,2322,2322,1215,1215,1215,3069,3069,3069,1060,1060,1060,242,242,NA,NA,717,717,2228,2228,2228,NA,NA,288,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4040",3294,3294,3294,3203,3203,3203,4004,4004,4004,3489,3489,3489,3334,3334,3334,3350,3350,3350,3584,3584,3584,3618,3618,3618,2794,2794,3280,3280,1185,1185,15398,15398,15398,6621,6621,11575,11575,3117,3117,3117,3117,3117,3117,3117,3117,3117,3117,3117
